IATA,ICAO,Airline,Call sign,Country/Region,Comments
YQ,LCT,TAR Aerolineas,TAR,Mexico,
YS,RAE,Régional Compagnie Aérienne Européenne,REGIONAL EUROPE,France,
YT,TGA,Air Togo,AIR TOGO,Togo,defunct
YT,NYT,Yeti Airlines,YETI AIRLINES,Nepal,Domestic
YU,ADM,Dominair,DOMINAIR,Dominican Republic,"defunct; former IATA code: SS; former name: Aerolíneas Dominicanas, ICAO code no longer allocated"
YV,ASH,Mesa Airlines,AIR SHUTTLE,United States,
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain,
YX,MEP,Midwest Airlines,MIDEX,United States,
Z2,EZD,Philippines AirAsia,REDHOT,Philippines,
Z3,SMJ,Avient Aviation,AVAVIA,Zimbabwe,
Z4,OOM,Zoom Airlines,ZOOM,Canada,"defunct, ICAO Code and callsign no longer allocated"
Z5,GMG,GMG Airlines,GMG,Bangladesh,
Z6,UDN,Dniproavia,DNIEPRO,Ukraine,
Z7*,ADK,ADC Airlines,ADCO,Nigeria,defunct; former name: Aviation Development Company
Z8,AZN,Línea Aérea Amaszonas,,Bolivia,
ZA,CYD,AccessAir,CYCLONE,United States,defunct
ZA,SUW,Interavia Airlines,ASTAIR,Russia,
ZB,BUB,Air Bourbon,BOURBON,Reunion,defunct
ZB,ABN,Air Albania,AIR ALBANIA,Albania,
ZB,MON,Monarch Airlines,MONARCH,United Kingdom,defunct October 2017
ZD,EWR,Ewa Air,MAYOTTE AIR,France,
ZE,AZE,Arcus-Air Logistic,ARCUS AIR,Germany,
ZE,ESR,Eastar Jet,EASTAR,South Korea,
ZE,LCD,Líneas Aéreas Azteca,LINEAS AZTECA,Mexico,defunct
ZG,VVM,Viva Macau,JACKPOT,Macao,
ZG,TZT,ZIPAIR Tokyo,ZIPPY,Japan,Subsidiary of Japan Airlines
ZH,CSZ,Shenzhen Airlines,SHENZHEN AIR,China,
ZI,AAF,Aigle Azur,AIGLE AZUR,France,Former name: Lucas Aigle Azur; former IATA code: LK
ZK,GLA,Great Lakes Airlines,LAKES AIR,United States,
ZL,RXA,Regional Express,REX,Australia,
ZP,AZP,Amaszonas Paraguay,GUARANI,Paraguay,
ZP,AZQ,Silk Way Airlines,SILK LINE,Azerbaijan,
ZS,AZI,Azzurra Air,AZZURRA,Italy,defunct
ZS,SMY,Sama Airlines,NAJIM,Saudi Arabia,
ZT,AWC,Titan Airways,ZAP,United Kingdom,
ZU,HCY,Helios Airways,HELIOS,Cyprus,
ZV,AMW,Air Midwest,AIR MIDWEST,United States,defunct
ZW,AWI,Air Wisconsin,WISCONSIN,United States,
ZX,ABL,Air BC,AIRCOACH,Canada,Merged into Air Canada Jazz
ZX,GGN,Air Georgian,GEORGIAN,Canada,
ZY,SHY,Sky Airlines,ANTALYA BIRD,Turkey,
